'Test Type,Test Description
0,
'Version
1.1.0
'Time Stamp
2018-06-25 11:55:07:279
'Access specifications
'Access specification name,default assignment
64 KiB; 100% Read; 0% random,0
'size,% of size,% reads,% random,delay,burst,align,reply
65536,100,100,0,0,1,0,0,
'End access specifications
'Results
TimeStamp,'Target Type,Target Name,Access Specification Name,# Managers,# Workers,# Disks,IOps,Read IOps,Write IOps,MBps (Binary),Read MBps (Binary),Write MBps (Binary),MBps (Decimal),Read MBps (Decimal),Write MBps (Decimal),Transactions per Second,Connections per Second,Average Response Time,Average Read Response Time,Average Write Response Time,Average Transaction Time,Average Connection Time,Maximum Response Time,Maximum Read Response Time,Maximum Write Response Time,Maximum Transaction Time,Maximum Connection Time,Errors,Read Errors,Write Errors,Bytes Read,Bytes Written,Read I/Os,Write I/Os,Connections,Transactions per Connection,Total Raw Read Response Time,Total Raw Write Response Time,Total Raw Transaction Time,Total Raw Connection Time,Maximum Raw Read Response Time,Maximum Raw Write Response Time,Maximum Raw Transaction Time,Maximum Raw Connection Time,Total Raw Run Time,Starting Sector,Maximum Size,Queue Depth,% CPU Utilization,% User Time,% Privileged Time,% DPC Time,% Interrupt Time,Processor Speed,Interrupts per Second,CPU Effectiveness,Packets/Second,Packet Errors,Segments Retransmitted/Second,0 to 50 uS,50 to 100 uS,100 to 200 uS,200 to 500 uS,0.5 to 1 mS,1 to 2 mS,2 to 5 mS,5 to 10 mS,10 to 15 mS,15 to 20 mS,20 to 30 mS,30 to 50 mS,50 to 100 mS,100 to 200 mS,200 to 500 mS,0.5 to 1 S,1 to 2 s,2 to 4.7 s,4.7 to 5 s,5 to 10 s, >= 10 s
2018-06-25 11:55:23:906,WORKER,Worker 1,,,,1,6604.41,6604.41,0,412.775,412.775,0,432.826,432.826,0,6604.41,0,0.151197,0.151197,0,0.151197,0,5.7135,5.7135,0,5.7135,0,0,0,0,433520640,0,6615,0,0,-1,3914732,0,3914732,0,22363,0,22363,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1758,2293,475,1978,81,16,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:24:911,WORKER,Worker 1,,,,1,6565.1,6565.1,0,410.319,410.319,0,430.251,430.251,0,6565.1,0,0.152092,0.152092,0,0.152092,0,3.11109,3.11109,0,3.11109,0,0,0,0,432603136,0,6601,0,0,-1,3929552,0,3929552,0,12177,0,12177,0,0,0,0,1,,,,,,3.91406e+006,,,,,,2058,1953,479,2021,56,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:25:903,WORKER,Worker 1,,,,1,6041.97,6041.97,0,377.623,377.623,0,395.967,395.967,0,6041.97,0,0.165267,0.165267,0,0.165267,0,3.46392,3.46392,0,3.46392,0,0,0,0,393281536,0,6001,0,0,-1,3881851,0,3881851,0,13558,0,13558,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1169,2296,449,1985,73,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:26:909,WORKER,Worker 1,,,,1,6372.81,6372.81,0,398.3,398.3,0,417.648,417.648,0,6372.81,0,0.156697,0.156697,0,0.156697,0,3.20894,3.20894,0,3.20894,0,0,0,0,419692544,0,6404,0,0,-1,3927708,0,3927708,0,12560,0,12560,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1607,2201,454,2039,75,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:27:911,WORKER,Worker 1,,,,1,6525.85,6525.85,0,407.865,407.865,0,427.678,427.678,0,6525.85,0,0.153019,0.153019,0,0.153019,0,3.06791,3.06791,0,3.06791,0,0,0,0,428474368,0,6538,0,0,-1,3915790,0,3915790,0,12008,0,12008,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1692,2306,414,2032,70,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:28:905,WORKER,Worker 1,,,,1,6699.59,6699.59,0,418.725,418.725,0,439.065,439.065,0,6699.59,0,0.149033,0.149033,0,0.149033,0,4.9736,4.9736,0,4.9736,0,0,0,0,436469760,0,6660,0,0,-1,3884938,0,3884938,0,19467,0,19467,0,0,0,0,1,,,,,,3.91406e+006,,,,,,2242,1960,437,1911,71,12,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:29:912,WORKER,Worker 1,,,,1,6590.46,6590.46,0,411.904,411.904,0,431.912,431.912,0,6590.46,0,0.151546,0.151546,0,0.151546,0,3.18646,3.18646,0,3.18646,0,0,0,0,434962432,0,6637,0,0,-1,3936801,0,3936801,0,12472,0,12472,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1957,2070,465,2056,59,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:30:914,WORKER,Worker 1,,,,1,6705.19,6705.19,0,419.074,419.074,0,439.431,439.431,0,6705.19,0,0.148902,0.148902,0,0.148902,0,2.99535,2.99535,0,2.99535,0,0,0,0,440401920,0,6720,0,0,-1,3916501,0,3916501,0,11724,0,11724,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1927,2272,482,1924,85,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:31:916,WORKER,Worker 1,,,,1,6429.94,6429.94,0,401.872,401.872,0,421.393,421.393,0,6429.94,0,0.155284,0.155284,0,0.155284,0,3.12156,3.12156,0,3.12156,0,0,0,0,422117376,0,6441,0,0,-1,3914782,0,3914782,0,12218,0,12218,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1783,2030,500,2035,60,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:32:902,WORKER,Worker 1,,,,1,6386.96,6386.96,0,399.185,399.185,0,418.576,418.576,0,6386.96,0,0.156351,0.156351,0,0.156351,0,11.0721,11.0721,0,11.0721,0,0,0,0,413073408,0,6303,0,0,-1,3857241,0,3857241,0,43337,0,43337,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1708,2151,402,1940,75,15,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0
